student_id,student_name,dob,email_id,phone,twelveth_diploma_group,mark_percentage,board,school_name,caste,religion,nationality,address,city,father_name
TN2026STU0011,Deepak E,5/6/2006,deepak.e17@example.com,942329237,Diploma in Civil Engineering,97.14,State Board,"St. Joseph's Higher Secondary School, Madurai",SC,Hindu,Indian,"No. 33, Main Road, Madurai, Tamil Nadu",Madurai,Velu E
TN2026STU0012,Janani Selvam,12/5/2005,janani.selvam43@example.com,980823176,Diploma in Civil Engineering,73.83,CBSE,"DAV Boy's Senior Secondary School, Vellore",BC,Hindu,Indian,"No. 96, Main Road, Vellore, Tamil Nadu",Vellore,Dharmalingam Selvam
TN2026STU0013,Swetha Murugan,9/5/2005,swetha.murugan41@example.com,940158366,Computer Science,70.04,State Board,"Bharathi Vidya Bhavan, Namakkal",OBC,Hindu,Indian,"No. 16, Main Road, Namakkal, Tamil Nadu",Namakkal,Prasad Murugan
TN2026STU0014,Bala K,5/26/2005,bala.k75@example.com,941944441,Commerce with Business Maths,84.77,State Board,"DAV Boy's Senior Secondary School, Namakkal",BC,Hindu,Indian,"No. 122, Main Road, Namakkal, Tamil Nadu",Namakkal,Subramanian K
TN2026STU0015,Ilango S,9/11/2008,ilango.s65@example.com,957553014,Diploma in Mechanical Engineering,73.29,State Board,"Government Higher Secondary School, Trichy",General,Hindu,Indian,"No. 28, Main Road, Trichy, Tamil Nadu",Trichy,Krishnan S
TN2026STU0016,Ilango G,7/8/2007,ilango.g27@example.com,966623995,Pure Science,67.4,CBSE,"DAV Boy's Senior Secondary School, Madurai",OBC,Christian,Indian,"No. 141, Main Road, Madurai, Tamil Nadu",Madurai,Dharmalingam G
TN2026STU0017,Arun Pandian,1/31/2005,arun.pandian21@example.com,941726318,Pure Science,73.09,State Board,"SRV Boys Higher Secondary School, Dindigul",SC,Hindu,Indian,"No. 1, Main Road, Dindigul, Tamil Nadu",Dindigul,Dharmalingam Pandian
TN2026STU0018,Logesh Rajan,5/17/2007,logesh.rajan99@example.com,984593961,Diploma in ECE,61.89,State Board,"Chinmaya Vidyalaya, Coimbatore",BC,Hindu,Indian,"No. 81, Main Road, Coimbatore, Tamil Nadu",Coimbatore,Velu Rajan
TN2026STU0019,Arun Balan,10/27/2007,arun.balan77@example.com,931130263,Bio-Maths,97.75,CBSE,"St. Joseph's Higher Secondary School, Madurai",BC,Hindu,Indian,"No. 61, Main Road, Madurai, Tamil Nadu",Madurai,Baskar Balan
TN2026STU0020,Deepak Balan,3/31/2008,deepak.balan86@example.com,915334035,Diploma in Civil Engineering,58.65,State Board,"Bharathi Vidya Bhavan, Thiruvallur",SC,Hindu,Indian,"No. 81, Main Road, Thiruvallur, Tamil Nadu",Thiruvallur,Arumugam Balan
TN2026STU0021,Logesh Mani,10/7/2008,logesh.mani92@example.com,950264926,Diploma in ECE,69.07,State Board,"St. Joseph's Higher Secondary School, Pudukkottai",ST,Islam,Indian,"No. 19, Main Road, Pudukkottai, Tamil Nadu",Pudukkottai,Srinivasan Mani
TN2026STU0022,Abirami N,12/16/2006,abirami.n18@example.com,942787299,Arts,67.68,CBSE,"SRV Boys Higher Secondary School, Kancheepuram",BC,Islam,Indian,"No. 136, Main Road, Kancheepuram, Tamil Nadu",Kancheepuram,Srinivasan N
TN2026STU0023,Janani Nathan,9/20/2008,janani.nathan23@example.com,928024248,Commerce with Business Maths,60.14,State Board,"St. Joseph's Higher Secondary School, Salem",OBC,Hindu,Indian,"No. 88, Main Road, Salem, Tamil Nadu",Salem,Velu Nathan
TN2026STU0024,Kavitha Pandian,11/2/2007,kavitha.pandian72@example.com,943704923,Bio-Maths,59.11,CBSE,"Adarsh Vidyalaya Higher Secondary School, Coimbatore",General,Hindu,Indian,"No. 68, Main Road, Coimbatore, Tamil Nadu",Coimbatore,Palani Pandian
TN2026STU0025,Nisha Rajan,12/16/2008,nisha.rajan64@example.com,985283645,Bio-Maths,59.98,State Board,"Kendriya Vidyalaya, Cuddalore",BC,Hindu,Indian,"No. 33, Main Road, Cuddalore, Tamil Nadu",Cuddalore,Dharmalingam Rajan
TN2026STU0026,Naveen E,1/3/2007,naveen.e36@example.com,943491314,Computer Science,70.74,CBSE,"Amrita Vidyalayam, Virudhunagar",SC,Hindu,Indian,"No. 61, Main Road, Virudhunagar, Tamil Nadu",Virudhunagar,Ganesan E
TN2026STU0027,Ramya A,2/20/2005,ramya.a32@example.com,954585178,Diploma in Mechanical Engineering,90.7,State Board,"DAV Boy's Senior Secondary School, Trichy",OBC,Hindu,Indian,"No. 121, Main Road, Trichy, Tamil Nadu",Trichy,Narayanan A
TN2026STU0028,Ilango Rajan,9/18/2006,ilango.rajan39@example.com,939920292,Bio-Maths,84.37,State Board,"Adarsh Vidyalaya Higher Secondary School, Madurai",SC,Hindu,Indian,"No. 131, Main Road, Madurai, Tamil Nadu",Madurai,Chidambaram Rajan
TN2026STU0029,Kavitha Nathan,2/26/2005,kavitha.nathan24@example.com,945059710,Pure Science,80.84,State Board,"Chinmaya Vidyalaya, Pudukkottai",OBC,Hindu,Indian,"No. 81, Main Road, Pudukkottai, Tamil Nadu",Pudukkottai,Subramanian Nathan
TN2026STU0030,Gayathri Murugan,2/28/2007,gayathri.murugan83@example.com,935511941,Commerce with Business Maths,56.98,State Board,"Adarsh Vidyalaya Higher Secondary School, Karur",BC,Christian,Indian,"No. 51, Main Road, Karur, Tamil Nadu",Karur,Krishnan Murugan
TN2026STU0031,Sathish R,6/30/2008,sathish.r50@example.com,999038359,Computer Science,87.03,State Board,"Chinmaya Vidyalaya, Virudhunagar",OBC,Hindu,Indian,"No. 142, Main Road, Virudhunagar, Tamil Nadu",Virudhunagar,Subramanian R
TN2026STU0032,Ilango Kumar,10/19/2008,ilango.kumar32@example.com,992613013,Diploma in Civil Engineering,68.39,CBSE,"Amrita Vidyalayam, Kancheepuram",OBC,Hindu,Indian,"No. 149, Main Road, Kancheepuram, Tamil Nadu",Kancheepuram,Sundaram Kumar
TN2026STU0033,Suresh Rajan,10/15/2008,suresh.rajan37@example.com,978608612,Diploma in ECE,90.32,State Board,"Kendriya Vidyalaya, Kancheepuram",BC,Hindu,Indian,"No. 86, Main Road, Kancheepuram, Tamil Nadu",Kancheepuram,Prasad Rajan
TN2026STU0034,Rathi V,4/6/2006,rathi.v35@example.com,929777514,Bio-Maths,57.06,State Board,"SRV Boys Higher Secondary School, Madurai",OBC,Christian,Indian,"No. 148, Main Road, Madurai, Tamil Nadu",Madurai,Velu V
TN2026STU0035,Meena Mani,3/30/2007,meena.mani41@example.com,929806690,Bio-Maths,94.72,State Board,"St. Joseph's Higher Secondary School, Erode",OBC,Islam,Indian,"No. 133, Main Road, Erode, Tamil Nadu",Erode,Baskar Mani
TN2026STU0036,Arun Nathan,9/6/2005,arun.nathan68@example.com,927896471,Diploma in ECE,84.71,State Board,"Amrita Vidyalayam, Tuticorin",BC,Hindu,Indian,"No. 130, Main Road, Tuticorin, Tamil Nadu",Tuticorin,Arumugam Nathan
TN2026STU0037,Sandhya Nathan,11/22/2005,sandhya.nathan70@example.com,970407340,Commerce with Business Maths,88.45,State Board,"Chinmaya Vidyalaya, Thiruvarur",OBC,Hindu,Indian,"No. 113, Main Road, Thiruvarur, Tamil Nadu",Thiruvarur,Prasad Nathan
TN2026STU0038,Meena T,7/11/2006,meena.t52@example.com,952910691,Diploma in Computer Engineering,58.59,State Board,"Kendriya Vidyalaya, Salem",BC,Hindu,Indian,"No. 105, Main Road, Salem, Tamil Nadu",Salem,Arumugam T
TN2026STU0039,Archana Rajan,5/8/2005,archana.rajan36@example.com,966390708,Diploma in Mechanical Engineering,95.27,CBSE,"Bharathi Vidya Bhavan, Chennai",MBC,Hindu,Indian,"No. 98, Main Road, Chennai, Tamil Nadu",Chennai,Narayanan Rajan
TN2026STU0040,Aravind E,3/10/2007,aravind.e63@example.com,982238741,Diploma in Computer Engineering,90.59,State Board,"DAV Boy's Senior Secondary School, Thanjavur",OBC,Hindu,Indian,"No. 87, Main Road, Thanjavur, Tamil Nadu",Thanjavur,Velu E
TN2026STU0041,Nandhini A,9/19/2005,nandhini.a89@example.com,981688860,Bio-Maths,95.36,State Board,"Bharathi Vidya Bhavan, Chennai",General,Hindu,Indian,"No. 119, Main Road, Chennai, Tamil Nadu",Chennai,Prasad A
TN2026STU0042,Arun N,11/2/2006,arun.n37@example.com,971028710,Arts,70.02,State Board,"Adarsh Vidyalaya Higher Secondary School, Virudhunagar",OBC,Hindu,Indian,"No. 5, Main Road, Virudhunagar, Tamil Nadu",Virudhunagar,Sundaram N
TN2026STU0043,Rajesh V,8/27/2008,rajesh.v15@example.com,914164775,Commerce with Computer Science,63.87,State Board,"Government Higher Secondary School, Erode",OBC,Hindu,Indian,"No. 145, Main Road, Erode, Tamil Nadu",Erode,Raman V
TN2026STU0044,Suresh N,12/10/2005,suresh.n87@example.com,991503378,Computer Science,89.61,ICSE,"Kendriya Vidyalaya, Trichy",BC,Christian,Indian,"No. 148, Main Road, Trichy, Tamil Nadu",Trichy,Chidambaram N
TN2026STU0045,Santhosh G,4/27/2008,santhosh.g98@example.com,994187049,Commerce with Computer Science,59.53,CBSE,"Chinmaya Vidyalaya, Pudukkottai",MBC,Hindu,Indian,"No. 145, Main Road, Pudukkottai, Tamil Nadu",Pudukkottai,Raman G
TN2026STU0046,Rajesh Nathan,9/16/2008,rajesh.nathan57@example.com,919255216,Diploma in Computer Engineering,83.82,CBSE,"Government Higher Secondary School, Nagercoil",OBC,Islam,Indian,"No. 118, Main Road, Nagercoil, Tamil Nadu",Nagercoil,Narayanan Nathan
TN2026STU0047,Sathish A,8/25/2008,sathish.a44@example.com,992666356,Diploma in Computer Engineering,89.47,State Board,"SRV Boys Higher Secondary School, Namakkal",OBC,Christian,Indian,"No. 23, Main Road, Namakkal, Tamil Nadu",Namakkal,Chandran A
TN2026STU0048,Sneha Rajan,8/10/2007,sneha.rajan82@example.com,991917334,Diploma in Mechanical Engineering,69.97,CBSE,"SRV Boys Higher Secondary School, Tirunelveli",OBC,Hindu,Indian,"No. 67, Main Road, Tirunelveli, Tamil Nadu",Tirunelveli,Arumugam Rajan
TN2026STU0049,Mani Sekar,2/13/2008,mani.sekar11@example.com,979340535,Commerce with Computer Science,58.81,State Board,"Adarsh Vidyalaya Higher Secondary School, Erode",BC,Hindu,Indian,"No. 126, Main Road, Erode, Tamil Nadu",Erode,Palani Sekar
TN2026STU0050,Priyanka M,8/26/2006,priyanka.m38@example.com,964277800,Commerce with Computer Science,68.63,State Board,"Bharathi Vidya Bhavan, Karur",BC,Hindu,Indian,"No. 141, Main Road, Karur, Tamil Nadu",Karur,Raman M
TN2026STU0051,Rajesh Rajan,9/20/2006,rajesh.rajan42@example.com,940942292,Computer Science,87.1,State Board,"Don Bosco Higher Secondary School, Karur",SC,Hindu,Indian,"No. 50, Main Road, Karur, Tamil Nadu",Karur,Palani Rajan
TN2026STU0052,Nisha Selvam,4/22/2008,nisha.selvam77@example.com,990099897,Commerce with Business Maths,98.63,State Board,"DAV Boy's Senior Secondary School, Cuddalore",OBC,Hindu,Indian,"No. 137, Main Road, Cuddalore, Tamil Nadu",Cuddalore,Palani Selvam
TN2026STU0053,Mani K,2/8/2008,mani.k47@example.com,926948946,Diploma in ECE,59.57,State Board,"Government Higher Secondary School, Nagercoil",OBC,Hindu,Indian,"No. 14, Main Road, Nagercoil, Tamil Nadu",Nagercoil,Ganesan K
TN2026STU0054,Shalini Selvam,5/14/2005,shalini.selvam61@example.com,976001106,Computer Science,80.68,State Board,"Government Higher Secondary School, Namakkal",SC,Hindu,Indian,"No. 64, Main Road, Namakkal, Tamil Nadu",Namakkal,Krishnan Selvam
TN2026STU0055,Bhavani Kumar,5/5/2008,bhavani.kumar89@example.com,940291214,Diploma in Computer Engineering,71.93,State Board,"SRV Boys Higher Secondary School, Namakkal",ST,Hindu,Indian,"No. 16, Main Road, Namakkal, Tamil Nadu",Namakkal,Jayaraman Kumar
TN2026STU0056,Pooja G,6/26/2006,pooja.g94@example.com,920896797,Pure Science,65.67,State Board,"Amrita Vidyalayam, Chennai",OBC,Hindu,Indian,"No. 121, Main Road, Chennai, Tamil Nadu",Chennai,Selvam G
TN2026STU0057,Anand V,12/18/2008,anand.v46@example.com,970939053,Computer Science,85.59,State Board,"Chinmaya Vidyalaya, Namakkal",BC,Christian,Indian,"No. 109, Main Road, Namakkal, Tamil Nadu",Namakkal,Velu V
TN2026STU0058,Archana V,6/29/2006,archana.v28@example.com,919584466,Bio-Maths,62.38,State Board,"Chinmaya Vidyalaya, Namakkal",SC,Hindu,Indian,"No. 120, Main Road, Namakkal, Tamil Nadu",Namakkal,Srinivasan V
TN2026STU0059,Keerthana Mani,10/22/2007,keerthana.mani79@example.com,976276072,Diploma in ECE,58.58,CBSE,"Government Higher Secondary School, Thiruvallur",BC,Hindu,Indian,"No. 59, Main Road, Thiruvallur, Tamil Nadu",Thiruvallur,Palani Mani
TN2026STU0060,Pooja Lingam,3/26/2008,pooja.lingam15@example.com,933513701,Diploma in ECE,78.09,CBSE,"SRV Boys Higher Secondary School, Tirunelveli",ST,Hindu,Indian,"No. 126, Main Road, Tirunelveli, Tamil Nadu",Tirunelveli,Palani Lingam
TN2026STU0061,Vignesh E,11/14/2006,vignesh.e51@example.com,999943797,Computer Science,93.17,State Board,"Don Bosco Higher Secondary School, Nagercoil",OBC,Christian,Indian,"No. 141, Main Road, Nagercoil, Tamil Nadu",Nagercoil,Narayanan E
TN2026STU0062,Suresh R,6/1/2006,suresh.r51@example.com,925558733,Diploma in Mechanical Engineering,93.49,State Board,"Government Higher Secondary School, Karur",OBC,Hindu,Indian,"No. 133, Main Road, Karur, Tamil Nadu",Karur,Subramanian R
TN2026STU0063,Gowri Selvam,4/16/2005,gowri.selvam36@example.com,945843681,Diploma in Computer Engineering,60.83,State Board,"Chinmaya Vidyalaya, Nagercoil",OBC,Islam,Indian,"No. 62, Main Road, Nagercoil, Tamil Nadu",Nagercoil,Prasad Selvam
TN2026STU0064,Naveen Nathan,2/6/2008,naveen.nathan62@example.com,922510327,Commerce with Computer Science,99.16,State Board,"St. Joseph's Higher Secondary School, Trichy",BC,Hindu,Indian,"No. 75, Main Road, Trichy, Tamil Nadu",Trichy,Murugan Nathan
TN2026STU0065,Saravanan Selvam,5/15/2006,saravanan.selvam68@example.com,983989546,Pure Science,72.07,State Board,"Bharathi Vidya Bhavan, Salem",MBC,Hindu,Indian,"No. 107, Main Road, Salem, Tamil Nadu",Salem,Baskar Selvam
TN2026STU0066,Vidhya Murugan,1/6/2005,vidhya.murugan46@example.com,950071487,Diploma in Civil Engineering,80.81,CBSE,"SRV Boys Higher Secondary School, Tuticorin",BC,Hindu,Indian,"No. 142, Main Road, Tuticorin, Tamil Nadu",Tuticorin,Palani Murugan
TN2026STU0067,Suresh J,11/29/2008,suresh.j40@example.com,986745380,Diploma in Mechanical Engineering,65.39,State Board,"Adarsh Vidyalaya Higher Secondary School, Nagercoil",BC,Hindu,Indian,"No. 99, Main Road, Nagercoil, Tamil Nadu",Nagercoil,Selvam J
TN2026STU0068,Vijay K,10/26/2007,vijay.k85@example.com,954559574,Computer Science,93.9,State Board,"SRV Boys Higher Secondary School, Tuticorin",General,Hindu,Indian,"No. 40, Main Road, Tuticorin, Tamil Nadu",Tuticorin,Srinivasan K
TN2026STU0069,Vignesh N,6/30/2008,vignesh.n98@example.com,963349308,Computer Science,92.9,State Board,"Amrita Vidyalayam, Thiruvallur",BC,Christian,Indian,"No. 125, Main Road, Thiruvallur, Tamil Nadu",Thiruvallur,Subramanian N
TN2026STU0070,Gowri R,7/16/2008,gowri.r97@example.com,948571356,Commerce with Computer Science,88.23,ICSE,"Adarsh Vidyalaya Higher Secondary School, Trichy",OBC,Hindu,Indian,"No. 8, Main Road, Trichy, Tamil Nadu",Trichy,Arumugam R
TN2026STU0071,Prabhu K,1/5/2007,prabhu.k57@example.com,967805802,Pure Science,65.87,State Board,"Adarsh Vidyalaya Higher Secondary School, Tirunelveli",OBC,Hindu,Indian,"No. 98, Main Road, Tirunelveli, Tamil Nadu",Tirunelveli,Velu K
TN2026STU0072,Vijay Balan,4/21/2006,vijay.balan69@example.com,995618110,Commerce with Business Maths,75.45,CBSE,"Government Higher Secondary School, Tuticorin",SC,Hindu,Indian,"No. 41, Main Road, Tuticorin, Tamil Nadu",Tuticorin,Srinivasan Balan
TN2026STU0073,Siva E,9/5/2006,siva.e91@example.com,966949781,Commerce with Business Maths,75.33,State Board,"Chinmaya Vidyalaya, Dindigul",MBC,Hindu,Indian,"No. 98, Main Road, Dindigul, Tamil Nadu",Dindigul,Gunasekaran E
TN2026STU0074,Deepika T,2/14/2005,deepika.t94@example.com,963124147,Commerce with Business Maths,55.36,CBSE,"Government Higher Secondary School, Nagercoil",MBC,Christian,Indian,"No. 59, Main Road, Nagercoil, Tamil Nadu",Nagercoil,Velu T
TN2026STU0075,Karthik Pandian,6/25/2008,karthik.pandian42@example.com,998473848,Pure Science,82.96,State Board,"Government Higher Secondary School, Tuticorin",General,Hindu,Indian,"No. 34, Main Road, Tuticorin, Tamil Nadu",Tuticorin,Selvam Pandian
TN2026STU0076,Uma T,5/1/2007,uma.t32@example.com,936950221,Pure Science,90,State Board,"Don Bosco Higher Secondary School, Thanjavur",MBC,Hindu,Indian,"No. 124, Main Road, Thanjavur, Tamil Nadu",Thanjavur,Subramanian T
TN2026STU0077,Nisha J,8/18/2007,nisha.j19@example.com,928892086,Commerce with Computer Science,93.28,ICSE,"Adarsh Vidyalaya Higher Secondary School, Karur",OBC,Hindu,Indian,"No. 4, Main Road, Karur, Tamil Nadu",Karur,Krishnan J
TN2026STU0078,Archana S,1/25/2007,archana.s96@example.com,945186708,Diploma in Civil Engineering,71.96,State Board,"Don Bosco Higher Secondary School, Erode",OBC,Hindu,Indian,"No. 144, Main Road, Erode, Tamil Nadu",Erode,Prasad S
TN2026STU0079,Uma Sekar,8/19/2008,uma.sekar18@example.com,995282470,Diploma in ECE,95.47,State Board,"Chinmaya Vidyalaya, Trichy",OBC,Christian,Indian,"No. 78, Main Road, Trichy, Tamil Nadu",Trichy,Arumugam Sekar
TN2026STU0080,Deepak S,1/6/2008,deepak.s27@example.com,962163160,Diploma in ECE,71.51,State Board,"Amrita Vidyalayam, Salem",MBC,Hindu,Indian,"No. 126, Main Road, Salem, Tamil Nadu",Salem,Arumugam S
TN2026STU0081,Mani K,3/21/2006,mani.k66@example.com,969686067,Commerce with Computer Science,93.07,ICSE,"St. Joseph's Higher Secondary School, Cuddalore",BC,Islam,Indian,"No. 92, Main Road, Cuddalore, Tamil Nadu",Cuddalore,Chidambaram K
TN2026STU0082,Santhosh N,9/8/2005,santhosh.n68@example.com,922304198,Commerce with Computer Science,83.56,ICSE,"Bharathi Vidya Bhavan, Coimbatore",MBC,Hindu,Indian,"No. 33, Main Road, Coimbatore, Tamil Nadu",Coimbatore,Selvam N
TN2026STU0083,Bala Nathan,4/15/2008,bala.nathan37@example.com,941272553,Arts,89.46,State Board,"Bharathi Vidya Bhavan, Salem",ST,Hindu,Indian,"No. 45, Main Road, Salem, Tamil Nadu",Salem,Selvam Nathan
TN2026STU0084,Janani M,1/31/2005,janani.m55@example.com,941934639,Diploma in Civil Engineering,69.41,State Board,"Kendriya Vidyalaya, Salem",BC,Hindu,Indian,"No. 17, Main Road, Salem, Tamil Nadu",Salem,Srinivasan M
TN2026STU0085,Siva E,4/30/2008,siva.e23@example.com,970667140,Diploma in Computer Engineering,64.86,State Board,"Bharathi Vidya Bhavan, Thiruvarur",OBC,Hindu,Indian,"No. 8, Main Road, Thiruvarur, Tamil Nadu",Thiruvarur,Chandran E
TN2026STU0086,Vignesh Mani,11/6/2008,vignesh.mani23@example.com,975802771,Diploma in ECE,58.27,State Board,"St. Joseph's Higher Secondary School, Salem",General,Hindu,Indian,"No. 150, Main Road, Salem, Tamil Nadu",Salem,Narayanan Mani
TN2026STU0087,Sanjay Sekar,8/27/2006,sanjay.sekar68@example.com,977853916,Diploma in Civil Engineering,74.14,CBSE,"St. Joseph's Higher Secondary School, Karur",BC,Hindu,Indian,"No. 116, Main Road, Karur, Tamil Nadu",Karur,Chandran Sekar
TN2026STU0088,Saravanan J,3/28/2007,saravanan.j63@example.com,922762205,Arts,73.99,State Board,"Chinmaya Vidyalaya, Salem",BC,Hindu,Indian,"No. 24, Main Road, Salem, Tamil Nadu",Salem,Prasad J
TN2026STU0089,Bharathi Kumar,2/3/2007,bharathi.kumar26@example.com,984674816,Bio-Maths,81.1,State Board,"Amrita Vidyalayam, Trichy",OBC,Christian,Indian,"No. 109, Main Road, Trichy, Tamil Nadu",Trichy,Krishnan Kumar
TN2026STU0090,Manoj Sekar,12/22/2006,manoj.sekar23@example.com,987566910,Diploma in Computer Engineering,64.47,State Board,"SRV Boys Higher Secondary School, Trichy",OBC,Hindu,Indian,"No. 30, Main Road, Trichy, Tamil Nadu",Trichy,Velu Sekar
TN2026STU0091,Deepika V,2/23/2008,deepika.v89@example.com,992352411,Diploma in Computer Engineering,56.17,State Board,"Chinmaya Vidyalaya, Thanjavur",BC,Hindu,Indian,"No. 87, Main Road, Thanjavur, Tamil Nadu",Thanjavur,Narayanan V
TN2026STU0092,Aravind A,3/5/2008,aravind.a94@example.com,963792364,Computer Science,61.31,State Board,"Government Higher Secondary School, Thiruvarur",OBC,Hindu,Indian,"No. 88, Main Road, Thiruvarur, Tamil Nadu",Thiruvarur,Srinivasan A
TN2026STU0093,Ramesh T,3/8/2008,ramesh.t86@example.com,921402740,Bio-Maths,61.92,State Board,"Bharathi Vidya Bhavan, Madurai",OBC,Hindu,Indian,"No. 125, Main Road, Madurai, Tamil Nadu",Madurai,Subramanian T
TN2026STU0094,Saravanan N,11/16/2007,saravanan.n24@example.com,956328316,Diploma in Mechanical Engineering,59.93,State Board,"Bharathi Vidya Bhavan, Kancheepuram",General,Hindu,Indian,"No. 15, Main Road, Kancheepuram, Tamil Nadu",Kancheepuram,Selvam N
TN2026STU0095,Jayan T,10/9/2005,jayan.t42@example.com,948848936,Arts,60.34,State Board,"SRV Boys Higher Secondary School, Tirunelveli",OBC,Hindu,Indian,"No. 59, Main Road, Tirunelveli, Tamil Nadu",Tirunelveli,Selvam T
TN2026STU0096,Bala Mani,6/13/2007,bala.mani12@example.com,971707170,Computer Science,93.36,State Board,"Bharathi Vidya Bhavan, Dindigul",BC,Hindu,Indian,"No. 30, Main Road, Dindigul, Tamil Nadu",Dindigul,Ganesan Mani
TN2026STU0097,Adithya J,6/19/2008,adithya.j68@example.com,958567046,Computer Science,74.43,State Board,"St. Joseph's Higher Secondary School, Namakkal",OBC,Hindu,Indian,"No. 80, Main Road, Namakkal, Tamil Nadu",Namakkal,Rajendran J
TN2026STU0098,Karthik J,6/6/2005,karthik.j75@example.com,994989976,Computer Science,78.61,CBSE,"DAV Boy's Senior Secondary School, Cuddalore",OBC,Islam,Indian,"No. 38, Main Road, Cuddalore, Tamil Nadu",Cuddalore,Rajendran J
TN2026STU0099,Chandran P,2/9/2006,chandran.p32@example.com,990852623,Pure Science,88.83,State Board,"St. Joseph's Higher Secondary School, Nagercoil",OBC,Hindu,Indian,"No. 149, Main Road, Nagercoil, Tamil Nadu",Nagercoil,Palani P
TN2026STU0100,Kavitha Balan,10/24/2006,kavitha.balan90@example.com,952431444,Pure Science,74.57,State Board,"SRV Boys Higher Secondary School, Kancheepuram",MBC,Hindu,Indian,"No. 91, Main Road, Kancheepuram, Tamil Nadu",Kancheepuram,Jayaraman Balan
TN2026STU0101,Naveen Rajan,3/19/2005,naveen.rajan17@example.com,959491122,Commerce with Business Maths,58.41,State Board,"St. Joseph's Higher Secondary School, Thiruvarur",OBC,Hindu,Indian,"No. 11, Main Road, Thiruvarur, Tamil Nadu",Thiruvarur,Prasad Rajan
TN2026STU0102,Uma Balan,10/21/2006,uma.balan87@example.com,973837847,Diploma in Computer Engineering,61.71,State Board,"Government Higher Secondary School, Thiruvallur",ST,Hindu,Indian,"No. 45, Main Road, Thiruvallur, Tamil Nadu",Thiruvallur,Selvam Balan
TN2026STU0103,Kumar Rajan,12/10/2007,kumar.rajan76@example.com,991846696,Pure Science,71.19,State Board,"Chinmaya Vidyalaya, Thiruvallur",BC,Hindu,Indian,"No. 86, Main Road, Thiruvallur, Tamil Nadu",Thiruvallur,Prasad Rajan
TN2026STU0104,Prakash S,10/21/2008,prakash.s59@example.com,948137561,Commerce with Business Maths,87.21,CBSE,"Bharathi Vidya Bhavan, Thiruvallur",General,Hindu,Indian,"No. 90, Main Road, Thiruvallur, Tamil Nadu",Thiruvallur,Dharmalingam S
TN2026STU0105,Ishwarya Lingam,9/22/2005,ishwarya.lingam86@example.com,921370793,Commerce with Business Maths,79.87,CBSE,"Don Bosco Higher Secondary School, Thiruvarur",General,Hindu,Indian,"No. 131, Main Road, Thiruvarur, Tamil Nadu",Thiruvarur,Sundaram Lingam
